,location,cases,population,percentagePerPopulation
103,Kazakhstan,1394715.0,18994958.0,7.342553745051713
104,Kenya,324046.0,54985702.0,0.5893277492392477
105,Kiribati,3093.0,121388.0,2.548027811645303
106,Kosovo,228241.0,1782115.0,12.807310414872216
107,Kuwait,632074.0,4328553.0,14.60243180573277
108,Kyrgyzstan,200993.0,6628347.0,3.032324650474696
109,Laos,209434.0,7379358.0,2.8381059707362075
110,Latvia,826038.0,1866934.0,44.245699098093446
111,Lebanon,1098074.0,6769151.0,16.22173888571846
112,Lesotho,33151.0,2159067.0,1.5354317397283177
113,Liberia,7452.0,5180208.0,0.14385522743488294
114,Libya,501954.0,6958538.0,7.213498007771173
115,Liechtenstein,17347.0,38254.0,45.34689182830554
116,Lithuania,1060636.0,2689862.0,39.430870431271195
117,Luxembourg,244182.0,634814.0,38.465125217780326
118,Macao,82.0,658391.0,0.012454605242173724
119,Madagascar,64276.0,28427333.0,0.2261063322401718
120,Malawi,85889.0,19647681.0,0.4371457374536975
121,Malaysia,4479809.0,32776195.0,13.66787389445297
122,Maldives,179560.0,543620.0,33.03042566498657
123,Mali,31014.0,20855724.0,0.14870737644974588
124,Malta,93572.0,516100.0,18.130594845960086
125,Marshall Islands,17.0,59618.0,0.02851487805696266
126,Mauritania,58871.0,4775110.0,1.232872122317601
127,Mauritius,223793.0,1273428.0,17.5740599389993
128,Mexico,5752441.0,130262220.0,4.4160471086704955
129,Micronesia (country),7.0,116255.0,0.006021246398004387
130,Moldova,518166.0,4024025.0,12.876808667938198
131,Monaco,12035.0,39520.0,30.452935222672068
132,Mongolia,922227.0,3329282.0,27.70047715994019
133,Montenegro,236320.0,628051.0,37.62751751052064
134,Montserrat,794.0,4981.0,15.940574181891186
135,Morocco,1165849.0,37344787.0,3.121852053942629
136,Mozambique,225503.0,32163045.0,0.7011245359386836
137,Myanmar,613144.0,54806014.0,1.1187531353767126
138,Namibia,160074.0,2587344.0,6.186807784353376
139,Nauru,0.0,10873.0,0.0
140,Nepal,979004.0,29674920.0,3.299095667317722
141,Netherlands,8164465.0,17173094.0,47.54219012601922
142,New Caledonia,61185.0,288217.0,21.228796358299476
143,New Zealand,1060710.0,5126300.0,20.691531904102376
144,Nicaragua,18491.0,6702379.0,0.275887114112765
145,Niger,9013.0,25130810.0,0.035864343409543906
146,Nigeria,255859.0,211400704.0,0.1210303443454947
147,Niue,0.0,1614.0,0.0
148,North Korea,1.0,25887045.0,3.862936074781807e-06
149,North Macedonia,310859.0,2082661.0,14.926048934512146
150,Northern Cyprus,0.0,0.0,0.0
151,Northern Mariana Islands,0.0,57910.0,0.0
152,Norway,1430124.0,5465629.0,26.165771588228914
153,Oman,389427.0,5223376.0,7.455465583944178
154,Pakistan,1529251.0,225199929.0,0.6790637132039238
155,Palau,4879.0,18174.0,26.846043798833495
156,Palestine,657329.0,5222756.0,12.585864627794214
157,Panama,810242.0,4381583.0,18.491992505904832
158,Papua New Guinea,44276.0,9119005.0,0.4855354284815065
159,Paraguay,649929.0,7219641.0,9.002234321623472
160,Peru,3571516.0,33359415.0,10.70617095653506
161,Philippines,3688292.0,111046910.0,3.3213819276916396
162,Pitcairn,0.0,47.0,0.0
163,Poland,6003531.0,37797000.0,15.883617747440274
164,Portugal,4066674.0,10167923.0,39.99512978215905
165,Puerto Rico,0.0,2828246.0,0.0
166,Qatar,366343.0,2930524.0,12.500938398730058
167,Romania,2903394.0,19127772.0,15.178945043886971
168,Russia,17998438.0,145912022.0,12.335130274597935
169,Rwanda,129931.0,13276517.0,0.9786527596055502
170,Saint Helena,4.0,6095.0,0.06562756357670221
171,Saint Kitts and Nevis,5610.0,53546.0,10.476973069883838
172,Saint Lucia,24396.0,184401.0,13.229863178616169
173,Saint Pierre and Miquelon,2739.0,5771.0,47.46144515681858
174,Saint Vincent and the Grenadines,9447.0,111269.0,8.49023537553137
175,Samoa,11671.0,200144.0,5.831301462946678
176,San Marino,16852.0,34010.0,49.550132314025284
177,Sao Tome and Principe,5973.0,223364.0,2.6741104206586557
178,Saudi Arabia,759856.0,35340680.0,2.1500887928585413
179,Senegal,86045.0,17196308.0,0.5003690327016707
180,Serbia,2013240.0,6871547.0,29.29820606626135
181,Seychelles,43387.0,98910.0,43.86512991608533
182,Sierra Leone,7682.0,8141343.0,0.09435789647973314
183,Singapore,1240233.0,5453600.0,22.74154686812381
184,Sint Maarten (Dutch part),0.0,43421.0,0.0
185,Slovakia,2539041.0,5449270.0,46.59414930807246
186,Slovenia,1019834.0,2078723.0,49.060601147916294
187,Solomon Islands,18174.0,703995.0,2.5815524257984785
188,Somalia,26518.0,16359500.0,0.16209541856413706
189,South Korea,17830429.0,51305184.0,34.75365959120232
190,South Sudan,17541.0,11381377.0,0.15412019125629525
191,Spain,12127122.0,46745211.0,25.94302547912341
192,Sri Lanka,663678.0,21497306.0,3.087261259620159
193,Sudan,62195.0,44909351.0,0.1384900886231912
194,Suriname,80008.0,591798.0,13.519477929969348
195,Sweden,2504894.0,10160159.0,24.65408267724944
196,Switzerland,3649155.0,8715494.0,41.86974370012761
197,Syria,55871.0,18275704.0,0.30571188940245475
198,Taiwan,830257.0,23855008.0,3.480430608113818
199,Tajikistan,17786.0,9749625.0,0.18242752926394604
200,Tanzania,35354.0,61498438.0,0.057487638954342224
201,Thailand,4382977.0,69950844.0,6.265795735073618
202,Timor,22889.0,1343875.0,1.7032090038135987
203,Togo,37023.0,8478242.0,0.4366825103600487
204,Tokelau,0.0,1368.0,0.0
205,Tonga,11280.0,106759.0,10.565853932689516
206,Trinidad and Tobago,155384.0,1403374.0,11.072173205432051
207,Tunisia,1041197.0,11935764.0,8.723337693339111
208,Turkey,15055576.0,85042736.0,17.703541428864657
209,Turkmenistan,0.0,6117933.0,0.0
210,Turks and Caicos Islands,6046.0,39226.0,15.413246316218835
211,Tuvalu,0.0,11925.0,0.0
212,Uganda,164153.0,47123533.0,0.34834612252014296
213,Ukraine,5040518.0,43466822.0,11.596242301772143
214,United Arab Emirates,902803.0,9991083.0,9.036087479205207
215,United Kingdom,22279102.0,68207114.0,32.66389778638047
216,United States,82613620.0,332915074.0,24.815223596634137
217,United States Virgin Islands,0.0,104218.0,0.0
218,Uruguay,902540.0,3485152.0,25.8967184214634
219,Uzbekistan,238818.0,33935765.0,0.7037354248533958
220,Vanuatu,8464.0,314464.0,2.6915640582069806
221,Vatican,29.0,812.0,3.571428571428571
222,Venezuela,523059.0,28704947.0,1.8221911366009491
223,Vietnam,10698180.0,98168829.0,10.897736184670187
224,Wallis and Futuna,454.0,11094.0,4.092302145303768
225,Western Sahara,0.0,611872.0,0.0
226,Yemen,11819.0,30490639.0,0.038762716648870495
227,Zambia,320680.0,18920657.0,1.6948671496978145
228,Zimbabwe,249431.0,15092171.0,1.6527178230355328
